,depth,elevation,sum
0,0,467.3679,467.3679
1,0.0956,467.2642,468.2202
2,0.0515,466.7325,467.2475
3,0.0808,466.049,466.857
4,0.0827,465.6624,466.4894
5,0.0748,465.2128,465.9608
6,0.0988,464.95265,465.94065
7,0.0527,464.60115,465.12815
8,0.0616,464.2669,464.8829
9,0.0693,463.8461,464.5391
10,0.1112,463.68365,464.79565
11,0.1863,463.4269,465.2899
12,0.1321,463.172,464.493
13,0.1548,462.52005,464.06805
14,0.1308,461.633,462.941
15,0.1764,461.3002,463.0642
16,0.094,460.60785,461.54785
17,0.0858,459.69975,460.55775
18,0.0535,458.7746,459.3096
19,0.0919,456.6327,457.5517
20,0.0298,455.1813,455.4793
