Section,Dist,BankLow,y460,y400,y60
1,4.064,0.5,0.2578,0.2382,0.0794
2,10.16,0.45,0.2089,0.1922,0.062
3,16.256,0.75,0.3234,0.2978,0.0958
4,23.2664,0.6,0.2315,0.2127,0.0679
5,29.3624,0.35,0.2455,0.2256,0.0719
6,35.4584,0.55,0.3734,0.3439,0.1114
7,41.5544,0.55,0.1546,0.1422,0.0458
8,47.6504,0.7,0.2333,0.214,0.0675
9,53.7464,0.95,0.3151,0.2892,0.0914
10,59.8424,0.75,0.4629,0.4265,0.1382
11,65.9384,1.05,0.9327,0.8577,0.2607
12,72.0344,0.59,0.4528,0.4236,0.1627
13,87.2744,0.8,0.5752,0.5317,0.1749
14,102.5144,0.77,0.3974,0.3684,0.1259
15,117.7544,0.5,0.3115,0.289,0.0996
16,132.9944,0.59,0.2399,0.221,0.0717
17,148.2344,0.56,0.2272,0.2098,0.0696
18,163.4744,0.85,0.1414,0.13,0.0418
19,178.7144,0.57,0.3077,0.2848,0.0961
20,187.8584,0.8,0.1199,0.1102,0.0352
